level,trait,group,total_gwas_snps,trait_snps,eqtls_in_catalog,trait_eqtls,pval,adj_pval,sim_count,sim_pval
1,Autoimmune traits,Autoimmune or Inflammatory diseases,284391,97,7005,13,8.22E-07,0.002112724,11,0.05
0,Type 1 diabetes and autoimmune thyroid diseases,Autoimmune or Inflammatory diseases,284391,11,2458,5,2.13E-08,3.25E-05,2,0.012
0,Type 1 diabetes (age at diagnosis),Autoimmune or Inflammatory diseases,284391,39,2458,10,1.16E-12,1.77E-09,6,0.029
1,Rheumatoid arthritis (ACPA-positive),Autoimmune or Inflammatory diseases,284391,84,7005,11,7.14E-06,0.018337022,7,0.033
0,ACPA-positive rheumatoid arthritis (smoking interaction),Autoimmune or Inflammatory diseases,284391,15,2458,15,1.08E-31,1.65E-28,7,0.033
0,Severe COVID-19 or rheumatoid arthritis (MTAG),Autoimmune or Inflammatory diseases,284391,23,2458,5,1.42E-06,0.002172432,1,0.008
0,COVID-19 hospitalization or rheumatoid arthritis (MTAG),Autoimmune or Inflammatory diseases,284391,28,2458,5,4.00E-06,0.006121239,2,0.012
1,Psoriatic arthritis,Autoimmune or Inflammatory diseases,284391,64,7005,11,4.49E-07,0.001152479,6,0.029
0,Cutaneous lupus erythematosus,Autoimmune or Inflammatory diseases,284391,14,2458,5,9.01E-08,0.000137898,3,0.017
0,Severe COVID-19 or systemic lupus erythematosus (MTAG),Autoimmune or Inflammatory diseases,284391,17,2458,5,2.73E-07,0.000417125,2,0.012
0,COVID-19 hospitalization or systemic lupus erythematosus (MTAG),Autoimmune or Inflammatory diseases,284391,7,2458,4,1.91E-07,0.000291978,5,0.025
0,Oligoclonal band status in multiple sclerosis,Autoimmune or Inflammatory diseases,284391,4,2458,3,2.56E-06,0.003921055,4,0.021
0,Multiple sclerosis (OCB status),Autoimmune or Inflammatory diseases,284391,10,2458,6,8.45E-11,1.29E-07,5,0.025
0,Immunoglobulin G index levels in multiple sclerosis,Autoimmune or Inflammatory diseases,284391,4,2458,3,2.56E-06,0.003921055,5,0.025
0,IgA nephropathy,Autoimmune or Inflammatory diseases,284391,56,2458,11,2.05E-12,3.14E-09,10,0.046
0,Immunoglobulin A vasculitis,Autoimmune or Inflammatory diseases,284391,60,2458,51,4.81E-96,7.36E-93,7,0.033
0,Giant cell arteritis,Autoimmune or Inflammatory diseases,284391,8,2458,4,3.79E-07,0.000579927,4,0.021
0,Atopic asthma,Autoimmune or Inflammatory diseases,284391,199,2458,13,2.72E-08,4.16E-05,4,0.021
0,Adult asthma,Autoimmune or Inflammatory diseases,284391,45,2458,6,2.53E-06,0.003869759,3,0.017
1,Adult asthma,Autoimmune or Inflammatory diseases,284391,45,7005,8,1.29E-05,0.033120393,9,0.041
0,Nonatopic asthma,Autoimmune or Inflammatory diseases,284391,109,2458,8,5.40E-06,0.008264962,5,0.025
0,Asthma (childhood onset),Autoimmune or Inflammatory diseases,284391,400,2458,17,1.22E-07,0.000186567,7,0.033
0,Asthma (adult onset),Autoimmune or Inflammatory diseases,284391,141,2458,11,5.18E-08,7.93E-05,10,0.046
0,Crohn's disease,Autoimmune or Inflammatory diseases,284391,428,2458,17,3.15E-07,0.000481223,9,0.041
1,Eczema,Autoimmune or Inflammatory diseases,284391,249,7005,20,4.77E-06,0.012242889,2,0.012
0,Rosacea symptom severity,Autoimmune or Inflammatory diseases,284391,98,2458,7,2.49E-05,0.03811698,5,0.025
0,Atopic dermatitis,Autoimmune or Inflammatory diseases,284391,177,2458,11,5.18E-07,0.000792425,4,0.021
0,Hay fever and/or eczema,Autoimmune or Inflammatory diseases,284391,154,2458,12,1.31E-08,2.01E-05,4,0.021
0,Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations),Autoimmune or Inflammatory diseases,284391,5,2458,3,6.37E-06,0.009739198,0,0.004
0,Complement C4 levels (C4A.C4B.4481.34.2),Immune-related protein levels,284391,27,2458,9,1.08E-12,1.65E-09,3,0.017
0,Serum levels of protein C4A;C4B,Immune-related protein levels,284391,11,2458,4,1.75E-06,0.002677794,0,0.004
0,Complement C3 and C4 levels,Immune-related protein levels,284391,10,2458,5,1.17E-08,1.79E-05,1,0.008
0,Complement C4b levels,Immune-related protein levels,284391,19,2458,12,8.06E-21,1.23E-17,1,0.008
0,Complement factor B levels,Immune-related protein levels,284391,9,2458,4,6.78E-07,0.001036671,0,0.004
0,Complement C4 levels,Immune-related protein levels,284391,43,2458,14,7.77E-19,1.19E-15,5,0.025
0,IgE levels,Immune-related protein levels,284391,20,2458,6,1.45E-08,2.22E-05,1,0.008
0,MHC class I polypeptide-related sequence B levels,Immune-related protein levels,284391,29,2458,9,2.27E-12,3.48E-09,3,0.017
0,HLA DR on Dendritic Cell,Immune-related protein levels,284391,5,2458,3,6.37E-06,0.009739198,2,0.012
0,"HLA class II histocompatibility antigen, DQ alpha 2 chain levels (HLA.DQA2.7757.5.3)",Immune-related protein levels,284391,5,2458,3,6.37E-06,0.009739198,1,0.008
1,Serum levels of protein LILRB2,Immune-related protein levels,284391,4,7005,4,3.68E-07,0.000944866,9,0.041
1,Leukocyte immunoglobulin-like receptor subfamily B member 1 levels (LILRB1.5090.49.2),Immune-related protein levels,284391,11,7005,9,1.75E-13,4.49E-10,11,0.05
1,Cathepsin H levels,Immune-related protein levels,284391,13,7005,9,2.17E-12,5.58E-09,9,0.041
0,Anti-anoctamin 2 antibody levels,Immune-related protein levels,284391,10,2458,8,1.36E-15,2.09E-12,4,0.021
0,Natural cytotoxicity triggering receptor 3 levels,Immune-related protein levels,284391,9,2458,4,6.78E-07,0.001036671,6,0.029
0,Epstein Barr virus nuclear antigen 1 IgG levels,Immune-related protein levels,284391,6,2458,5,2.86E-10,4.38E-07,5,0.025
0,Hepatitis B,Infection by pathogen,284391,50,2458,8,1.20E-08,1.83E-05,5,0.025
0,Persistent hepatitis B virus infection,Infection by pathogen,284391,8,2458,5,2.63E-09,4.03E-06,6,0.029
0,Chronic hepatitis B infection,Infection by pathogen,284391,19,2458,10,1.97E-16,3.01E-13,10,0.046
0,Chronic hepatitis C infection,Infection by pathogen,284391,14,2458,5,9.01E-08,0.000137898,5,0.025
0,Hepatitis C induced liver cirrhosis,Infection by pathogen,284391,5,2458,3,6.37E-06,0.009739198,3,0.017
0,Hepatitis C (spontaneous viral clearance),Infection by pathogen,284391,18,2458,6,7.04E-09,1.08E-05,4,0.021
0,Shingles,Infection by pathogen,284391,86,2458,12,1.44E-11,2.20E-08,8,0.037
0,Childhood ear infection,Infection by pathogen,284391,102,2458,9,2.95E-07,0.000452033,2,0.012
0,Urinary tract infection frequency,Infection by pathogen,284391,61,2458,6,1.53E-05,0.023448481,6,0.029
0,Lymphoma,Blood cancers (Lymphoma and Leukemia),284391,9,2458,6,3.40E-11,5.21E-08,7,0.033
0,Primary central nervous system lymphoma,Blood cancers (Lymphoma and Leukemia),284391,7,2458,3,2.20E-05,0.033647705,2,0.012
0,Nodular sclerosis Hodgkin lymphoma,Blood cancers (Lymphoma and Leukemia),284391,14,2458,6,1.17E-09,1.79E-06,5,0.025
0,Chronic lymphocytic leukemia,Blood cancers (Lymphoma and Leukemia),284391,131,2458,8,2.08E-05,0.031837348,2,0.012
0,Cervical cancer,Other cancers,284391,150,2458,13,8.91E-10,1.36E-06,3,0.017
0,Hepatocellular carcinoma,Other cancers,284391,11,2458,4,1.75E-06,0.002677794,0,0.004
0,Hepatocellular carcinoma in hepatitis B infection,Other cancers,284391,8,2458,4,3.79E-07,0.000579927,1,0.008
0,Head and neck squamous cell carcinoma,Other cancers,284391,5,2458,3,6.37E-06,0.009739198,0,0.004
2,"Sphingomyelin (d18:1/20:1, d18:2/20:0) levels",Lipid metabolite levels,284391,10,26624,7,5.85E-06,0.048426904,10,0.046
2,Glycosyl-N-stearoyl-sphingosine (d18:1/18:0) levels,Lipid metabolite levels,284391,10,26624,7,5.85E-06,0.048426904,5,0.025
0,Triacylglycerol (50:1) [NL-18:1] levels,Lipid metabolite levels,284391,6,2458,5,2.86E-10,4.38E-07,4,0.021
1,Triacylglycerol (50:1) [NL-18:1] levels,Lipid metabolite levels,284391,6,7005,4,5.30E-06,0.013620467,5,0.025
0,Triacylglycerol (50:2) [NL-18:2] levels,Lipid metabolite levels,284391,7,2458,4,1.91E-07,0.000291978,5,0.025
0,Apolipoprotein M levels,Lipid metabolite levels,284391,6,2458,3,1.26E-05,0.019352393,3,0.017
0,Childhood steroid-sensitive nephrotic syndrome,Other,284391,29,2458,8,1.12E-10,1.72E-07,6,0.029
0,Feeling nervous,Other,284391,67,2458,7,1.98E-06,0.003023199,1,0.008
0,General cognitive ability,Other,284391,1258,2458,31,3.65E-07,0.000558502,11,0.05
0,Mouth ulcers,Other,284391,94,2458,9,1.46E-07,0.000223309,3,0.017
0,Help-seeking from a psychiatrist,Other,284391,5,2458,3,6.37E-06,0.009739198,0,0.004
0,Age-related macular degeneration,Other,284391,79,2458,8,4.66E-07,0.000713387,1,0.008
0,HIV-1 control,Other,284391,46,2458,6,2.89E-06,0.004417535,3,0.017
0,Nephropathy,Other,284391,6,2458,3,1.26E-05,0.019352393,0,0.004
0,Platelet-to-lymphocyte ratio,Other,284391,312,2458,18,4.63E-10,7.08E-07,3,0.017
